campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_13,13,2026-03-14T00:25:41.218Z,rush_hour,traditional,20361562,300,0.2,1,6,36.9,2.6,423.84,76.2,234,0,30.4,0,11,0,19,13,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_13,13,2026-03-14T00:25:41.284Z,rush_hour,ai,20361562,300,0.2,1,6,18.1,9.2,456.16,2.7,222,1,26.8,0,31,0,11,46,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_14,14,2026-03-14T00:25:41.356Z,rush_hour,traditional,20361659,300,0.2,1,6,63.9,3,493.63,56.2,235,0,64.7,65.2,13,1,15,15,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_14,14,2026-03-14T00:25:41.431Z,rush_hour,ai,20361659,300,0.2,1,6,17,8.6,443.6,2.6,223,0,26.1,0,28,0,11,43,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_15,15,2026-03-14T00:25:41.491Z,rush_hour,traditional,20361756,300,0.2,1,6,46.6,3.8,484.33,50.2,229,0,44.8,70.4,15,1,23,19,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_15,15,2026-03-14T00:25:41.551Z,rush_hour,ai,20361756,300,0.2,1,6,17.1,7.8,439.98,2.7,221,2,24.4,32.4,26,1,19,39,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_16,16,2026-03-14T00:25:41.620Z,rush_hour,traditional,20361853,300,0.2,1,6,40.4,1.2,391.09,11.2,239,0,46.8,0,5,0,16,6,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_16,16,2026-03-14T00:25:41.710Z,rush_hour,ai,20361853,300,0.2,1,6,20.1,7.6,441.17,3,220,1,25.5,0,30,0,22,38,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_17,17,2026-03-14T00:25:41.796Z,rush_hour,traditional,20361950,300,0.2,1,6,55.5,2.6,449.21,0,237,1,59.8,3.2,12,1,14,13,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_17,17,2026-03-14T00:25:41.890Z,rush_hour,ai,20361950,300,0.2,1,6,18.9,9.4,454.53,2.7,216,0,28.6,0,31,0,22,47,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_18,18,2026-03-14T00:25:41.983Z,rush_hour,traditional,20362047,300,0.2,1,6,46.5,2,413.99,21.1,234,1,53.7,0,8,0,22,10,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_18,18,2026-03-14T00:25:42.077Z,rush_hour,ai,20362047,300,0.2,1,6,12.5,5.6,404.74,2.6,231,0,27,0,13,0,11,28,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_19,19,2026-03-14T00:25:42.164Z,rush_hour,traditional,20362144,300,0.2,1,6,45.3,3,440.03,41.2,233,0,45.8,0,14,0,19,15,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_19,19,2026-03-14T00:25:42.222Z,rush_hour,ai,20362144,300,0.2,1,6,22.9,7.2,456.44,2.7,226,0,30.5,0,27,0,14,36,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_20,20,2026-03-14T00:25:42.317Z,rush_hour,traditional,20362241,300,0.2,1,6,49.1,3.4,468.47,77.4,234,1,45.6,0,15,0,16,17,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_20,20,2026-03-14T00:25:42.414Z,rush_hour,ai,20362241,300,0.2,1,6,23.7,7.6,479.04,2.8,226,0,28.1,56.4,30,1,13,38,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_21,21,2026-03-14T00:25:42.526Z,rush_hour,traditional,20362338,300,0.2,1,6,48.1,3,445.85,55.8,233,2,47.8,0,14,0,19,15,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_21,21,2026-03-14T00:25:42.604Z,rush_hour,ai,20362338,300,0.2,1,6,23.2,6.6,467.87,3.1,227,1,30.2,23.7,23,3,13,33,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_22,22,2026-03-14T00:25:42.707Z,rush_hour,traditional,20362435,300,0.2,1,6,49.5,2.8,438.88,0,233,0,49.5,0,14,0,20,14,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_22,22,2026-03-14T00:25:42.804Z,rush_hour,ai,20362435,300,0.2,1,6,17.5,7,425.56,2.9,223,1,24.5,0,25,0,19,35,300
