timestamp,scenario,mode,repetition,seed,grid_size,duration,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions
2026-03-14T17:23:23.035Z,emergency,ai,6,20565123,4,240,6.5,11.3,102.83,1.6,34
2026-03-14T17:23:23.038Z,emergency,rl,6,20565123,4,240,14.7,7.3,129.34,16.3,41
2026-03-14T17:23:23.041Z,normal,traditional,1,20266518,6,120,0,0,27,0,18
2026-03-14T17:23:23.044Z,normal,ai,1,20266518,6,120,29.3,5,64.76,3.3,16
2026-03-14T17:23:23.048Z,normal,rl,1,20266518,6,120,24.3,6.5,61.51,4.2,12
2026-03-14T17:23:23.051Z,normal,traditional,2,20266615,6,120,53.9,1,39.34,0,17
2026-03-14T17:23:23.054Z,normal,ai,2,20266615,6,120,28,7,86.66,2.9,14
2026-03-14T17:23:23.058Z,normal,rl,2,20266615,6,120,36.8,4.5,69.63,26.3,15
2026-03-14T17:23:23.062Z,normal,traditional,3,20266712,6,120,30.9,2,38.16,6.2,14
2026-03-14T17:23:23.065Z,normal,ai,3,20266712,6,120,34.5,6,76.71,3.1,14
2026-03-14T17:23:23.069Z,normal,rl,3,20266712,6,120,32.8,6.5,82.09,19,13
2026-03-14T17:23:23.072Z,normal,traditional,4,20266809,6,120,33.6,2,40.85,0,15
2026-03-14T17:23:23.076Z,normal,ai,4,20266809,6,120,25.9,5,66.66,3.2,16
2026-03-14T17:23:23.079Z,normal,rl,4,20266809,6,120,20.4,4,44.34,27,13
2026-03-14T17:23:23.083Z,normal,traditional,5,20266906,6,120,43.3,1.5,39.46,0,15
2026-03-14T17:23:23.087Z,normal,ai,5,20266906,6,120,21.4,2.5,41,3.6,17
2026-03-14T17:23:23.091Z,normal,rl,5,20266906,6,120,23.5,7,72.09,0,15
2026-03-14T17:23:23.095Z,normal,traditional,6,20267003,6,120,49.4,1.5,43.22,0,16
2026-03-14T17:23:23.099Z,normal,ai,6,20267003,6,120,40.7,4.5,73.87,0,17
2026-03-14T17:23:23.102Z,normal,rl,6,20267003,6,120,27.4,3,49.49,29.4,17
2026-03-14T17:23:23.111Z,rush_hour,traditional,1,20366518,6,120,39.2,1.5,153.13,0,89
2026-03-14T17:23:23.118Z,rush_hour,ai,1,20366518,6,120,18,6,162.88,2.5,87
2026-03-14T17:23:23.127Z,rush_hour,rl,1,20366518,6,120,30.3,5.5,176.17,34,86
2026-03-14T17:23:23.135Z,rush_hour,traditional,2,20366615,6,120,46.2,2.5,164.53,41.6,88
2026-03-14T17:23:23.142Z,rush_hour,ai,2,20366615,6,120,20,7,170.05,2.6,86
2026-03-14T17:23:23.150Z,rush_hour,rl,2,20366615,6,120,22.9,4.5,160.7,0,88
2026-03-14T17:23:23.158Z,rush_hour,traditional,3,20366712,6,120,40.9,2,154.91,0,89
2026-03-14T17:23:23.166Z,rush_hour,ai,3,20366712,6,120,20.8,4.5,161.63,3.6,90
2026-03-14T17:23:23.174Z,rush_hour,rl,3,20366712,6,120,9.8,4.5,143.46,0,86
2026-03-14T17:23:23.181Z,rush_hour,traditional,4,20366809,6,120,56.6,0.5,143.77,0,91
2026-03-14T17:23:23.188Z,rush_hour,ai,4,20366809,6,120,15.6,7.5,166.37,3.5,84
2026-03-14T17:23:23.195Z,rush_hour,rl,4,20366809,6,120,8.1,3.5,141.74,26.4,87
