scenario,metric,analysis_type,n_pairs,n_ai,n_traditional,ai_mean,traditional_mean,difference_ai_minus_traditional,difference_ci95_lo,difference_ci95_hi,improvement_percent,pvalue_permutation,pvalue_holm
emergency,co2_emissions,paired,30,30,30,248.32033333333328,229.787,18.533333333333303,-1.7864916666666733,39.64456666666667,-8.065440313565727,0.08847788052986753,0.17695576105973507
emergency,emergency_response_time,paired,30,30,30,2.9099999999999997,39.83333333333334,-36.923333333333346,-54.480000000000004,-20.44133333333333,92.69456066945607,0.0004998750312421895,0.0024993751562109477
emergency,total_collisions,paired,30,30,30,66.46666666666667,73.5,-7.033333333333331,-8.433333333333334,-5.633333333333334,9.569160997732423,0.00024993751562109475,0.0024993751562109477
emergency,collision_avoided,paired,30,30,30,0.2,0.13333333333333333,0.06666666666666668,-0.13416666666666638,0.26666666666666666,50.000000000000014,0.7480629842539365,0.7480629842539365
emergency,light_avg_wait_time,paired,30,30,30,33.559999999999995,61.53000000000001,-27.970000000000013,-32.443666666666665,-23.43291666666666,45.45750040630588,0.00024993751562109475,0.0024993751562109477
emergency,heavy_avg_wait_time,paired,30,30,30,36.67333333333333,55.686666666666675,-19.01333333333333,-32.717749999999995,-6.163166666666664,34.14342152520054,0.011747063234191453,0.03524118970257436
emergency,light_completed,paired,30,30,30,17.766666666666666,9.266666666666667,8.499999999999998,6.866666666666666,10.166666666666666,91.72661870503595,0.00024993751562109475,0.0024993751562109477
emergency,heavy_completed,paired,30,30,30,4.4,1.4333333333333333,2.966666666666667,2.2333333333333334,3.7,206.97674418604652,0.00024993751562109475,0.0024993751562109477
normal,avg_wait_time,paired,30,30,30,29.94,66.64666666666666,-36.70666666666668,-40.367,-33.08291666666667,55.07652295688706,0.00024993751562109475,0.0024993751562109477
normal,flow_rate,paired,30,30,30,5.3,2.4866666666666664,2.813333333333333,2.5731666666666664,3.053333333333333,113.13672922252012,0.00024993751562109475,0.0024993751562109477
normal,co2_emissions,paired,30,30,30,225.26733333333337,221.743,3.5243333333333453,-15.989324999999994,22.45564166666667,-1.5893774925627295,0.7225693576605848,1.0
normal,emergency_response_time,paired,30,30,30,2.95,27.583333333333336,-24.63333333333333,-38.055833333333325,-12.337583333333322,89.30513595166163,0.0007498125468632841,0.0029992501874531365
normal,total_collisions,paired,30,30,30,49.56666666666667,56.1,-6.533333333333331,-7.4,-5.666666666666667,11.645870469399878,0.00024993751562109475,0.0024993751562109477
normal,collision_avoided,paired,30,30,30,0.06666666666666667,0.1,-0.03333333333333334,-0.16666666666666666,0.1,-33.333333333333336,1.0,1.0
normal,light_avg_wait_time,paired,30,30,30,35.38333333333333,67.36666666666667,-31.983333333333327,-35.64016666666666,-27.966249999999995,47.476496783770415,0.00024993751562109475,0.0024993751562109477
normal,heavy_avg_wait_time,paired,30,30,30,36.013333333333335,55.16333333333332,-19.150000000000006,-32.523833333333336,-5.8179166666666475,34.715088524986385,0.010747313171707074,0.03224193951512122
normal,light_completed,paired,30,30,30,17.566666666666666,9.966666666666667,7.6,6.6,8.7,76.25418060200668,0.00024993751562109475,0.0024993751562109477
normal,heavy_completed,paired,30,30,30,4.8,1.7333333333333334,3.0666666666666664,2.1,4.0,176.9230769230769,0.00024993751562109475,0.0024993751562109477
portugal,avg_wait_time,paired,30,30,30,13.733333333333336,18.766666666666666,-5.033333333333335,-6.8735,-3.2632499999999998,26.820603907637636,0.00024993751562109475,0.0024993751562109477
